Date,High,Low,Open,Close,Volume,Adj Close,pct_change,log_change,volume_change,volume_log_change,7ma,14ma,21ma,28ma,volume_7ma,volume_14ma,volume_21ma,volume_28ma,ema,12ema,26ema,MACD,volume_ema,volume_12ema,volume_26ema,volume_MACD,20std,upper,lower,volume_20std,volume_upper,volume_lower,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif
2010-03-19,60.3,59.7,60.0,60.0,45829000.0,39.42,-0.0066225165562913,-0.0066445427186687,-0.3457486295111923,-0.4242636428261832,60.37142857142857,60.42857142857143,59.91904761904762,59.614285714285714,49327428.571428575,46269000.0,47660428.571428575,49288464.28571428,60.12094832511892,60.25791731854204,60.199261468230645,0.0586558503113963,52482828.83285823,49189118.1862673,48811204.616331644,377913.5699356571,0.95060922293903,61.90121844587806,58.09878155412194,0.95060922293903,45829001.90121845,45828998.09878156,7.94,528.43,144.0,28.43,40.05,16080,20.11,16.97,31.68,0.15,0.68,7.76,0.09,7897.91,355.67,1159.9,10824.72,1686.11,2374.41,3021141050,2538228333,482912717,2293139070,2559412033,-266272963,20598848873.0,18400804234.0,2198044639
2010-03-22,59.6,58.8,59.6,59.0,47044000.0,38.76,-0.0166666666666666,-0.0168071183163807,0.0265115974601235,0.0261662554745214,60.02857142857143,60.364285714285714,59.94761904761905,59.58571428571429,52428000.0,45808214.28571428,47344476.190476194,48272892.85714286,59.37364944170631,60.06433764143458,60.10833349357876,-0.0439958521441852,48856942.94428608,48859008.027408645,48677215.20633621,181792.82107243687,0.95060922293903,60.90121844587806,57.09878155412194,0.95060922293903,47044001.90121845,47043998.09878156,8.03,519.61,143.0,28.43,40.28,16020,19.94,16.87,31.78,0.15,0.68,7.76,0.09,7835.98,364.25,1165.81,10824.72,1672.67,2395.4,3106014084,2904160820,201853264,2506948590,2950054074,-443105484,10516125515.0,18424743116.0,-7908617601
2010-03-23,60.1,59.5,59.5,59.6,48107000.0,39.16,0.0101694915254237,0.0101181301655843,0.0225958676983249,0.0223443626799735,59.85714285714285,60.33571428571429,59.97619047619048,59.60714285714285,49601285.71428572,46948000.0,47372476.190476194,47651357.14285714,59.524549813902105,59.99288423549389,60.06985883370432,-0.0769745982104268,48356980.98142869,48743287.20260736,48634056.85380553,109230.34880183636,0.9538150543447304,61.50763010868946,57.69236989131054,0.9538150543447304,48107001.90763011,48106998.09236989,8.16,508.82,143.5,28.43,40.52,16180,20.22,16.35,31.77,0.15,0.68,7.76,0.09,7811.87,372.47,1174.17,10774.15,1681.82,2415.24,3156692146,3494584699,-337892553,3668903470,3918115883,-249212413,15485367490.0,18174368073.0,-2689000583
2010-03-24,60.8,60.1,60.1,60.6,46973000.0,39.81,0.0167785234899328,0.016639319003965,-0.0235724530733573,-0.0238547281138217,59.971428571428575,60.43571428571429,60.01428571428571,59.635714285714286,50895857.14285714,46488571.42857143,47212000.0,47813750.0,60.24151660463404,60.0863052971489,60.10991942096421,-0.0236141238152995,47434326.99380956,48470880.98361155,48508537.61993718,-37656.636325635016,0.8955445270894721,62.39108905417895,58.808910945821054,0.8955445270894721,46973001.79108905,46972998.20891095,8.19,509.8,144.0,28.43,40.19,16380,19.62,17.55,31.8,0.15,0.68,7.76,0.08,7822.71,365.37,1167.72,10815.03,1681.01,2398.76,3331295373,3070714751,260580622,2388404900,2747384851,-358979951,25061572166.0,18794672587.0,6266899579
2010-03-25,61.5,60.2,60.9,61.5,62713000.0,40.4,0.0148514851485148,0.0147422817372033,0.3350861132991293,0.288995794115813,60.22857142857142,60.51428571428572,60.15714285714286,59.721428571428575,55655714.28571428,46749357.14285714,47584809.52380952,48533357.14285714,61.08050553487801,60.30383350805407,60.21480562182981,0.0890278862242652,57620108.99793652,50662346.13014231,49580311.52776091,1082034.6023814008,0.830646545896892,63.16129309179379,59.83870690820621,0.830646545896892,62713001.66129309,62712998.33870691,8.09,524.51,144.5,28.43,42.19,16380,19.65,18.4,31.79,0.15,0.68,7.76,0.08,7838.1,364.83,1165.73,10828.85,1688.39,2397.41,4817816170,2879786990,1938029180,2602441800,2479493259,122948541,21369375959.0,23885498867.0,-2516122908
2010-03-26,62.0,60.3,61.3,62.0,77332000.0,40.73,0.008130081300813,0.0080972102326191,0.233109562610623,0.2095390787995015,60.442857142857136,60.57142857142857,60.33809523809524,59.892857142857146,56863714.28571428,49130714.28571428,48617047.61904762,49072821.42857143,61.693501844959336,60.564819475336805,60.34931894481062,0.2155005305261852,70761369.66597883,54765955.91454228,51671384.56741244,3094571.347129844,0.8437229527828118,63.687445905565625,60.312554094434375,0.8437229527828118,77332001.68744591,77331998.31255409,8.25,549.02,146.5,28.43,41.83,16400,19.91,17.77,31.83,0.15,0.68,7.76,0.08,7876.86,362.89,1166.59,10996.37,1697.72,2395.13,4000335879,2460954487,1539381392,2541622400,2863195132,-321572732,29229664830.0,21336435949.0,7893228881
2010-03-29,62.3,61.7,62.0,62.2,37464000.0,40.86,0.0032258064516129,0.0032206147000417,-0.5155433714374386,-0.7247273695890151,60.7,60.635714285714286,60.5,60.06428571428573,52208857.14285714,49676071.42857143,48930714.28571428,48794857.14285714,62.03116728165312,60.81641611656703,60.48858903495113,0.3278270816158937,48563123.22199295,52103794.80807431,50602230.20187976,1501564.6061945483,0.9092941160447502,64.0185882320895,60.3814117679105,0.9092941160447502,37464001.81858824,37463998.181411766,8.3,547.06,146.0,28.43,41.76,16360,20.22,17.59,31.72,0.15,0.69,7.76,0.08,7947.45,366.37,1173.22,10986.47,1691.99,2404.36,4375002053,2796905445,1578096608,2643862610,2087012190,556850420,24246317882.0,12096027813.0,12150290069
2010-03-30,62.4,61.7,62.4,62.2,29950000.0,40.86,0.0,0.0,-0.2005658765748451,-0.223851147319781,61.01428571428572,60.69285714285714,60.62380952380952,60.192857142857136,49940428.571428575,49633928.571428575,47492809.52380952,48230428.571428575,62.14372242721771,61.02929694512711,60.61722686435335,0.4120700807737592,36154374.40733098,48695170.11175937,49049909.85350058,-354739.7417412102,0.967035622268779,64.13407124453757,60.26592875546245,0.967035622268779,29950001.934071243,29949998.06592876,8.42,539.22,144.0,28.43,42.13,16280,20.38,17.13,31.74,0.15,0.69,7.76,0.08,7962.22,368.9,1173.27,11097.14,1700.19,2410.69,2777796250,3060178700,-282382450,2817299910,2709020018,108279892,20722083020.0,15110171513.0,5611911507
2010-03-31,62.2,61.5,62.2,61.5,39228000.0,40.4,-0.0112540192926045,-0.0113178249326608,0.3097829716193656,0.2698614529686161,61.371428571428574,60.7,60.69999999999999,60.30357142857143,48823857.14285714,50625928.571428575,46813428.571428575,47714321.42857143,61.7145741424059,61.10171906635045,60.68350801998067,0.4182110463697768,38203458.135777,47238556.36264968,48312452.50543506,-1073896.1427853853,0.971312188959336,63.44262437791867,59.55737562208133,0.971312188959336,39228001.942624375,39227998.057375625,8.39,540.2,144.0,28.43,41.96,16360,20.56,17.59,31.75,0.15,0.69,7.77,0.08,7920.06,366.57,1169.43,11089.94,1692.85,2397.96,2608430780,2728850076,-120419296,2865193149,1994566317,870626832,21988697025.0,19388658543.0,2600038482
2010-04-01,62.5,61.5,61.5,62.1,54656000.0,40.8,0.0097560975609756,0.0097088141269603,0.3932905067808708,0.3316682206360291,61.72857142857144,60.79285714285714,60.8,60.41428571428572,49759428.571428575,49680357.14285714,47885142.85714286,47969214.28571428,61.971524714135306,61.25531199406487,60.7897551438358,0.4655568502290705,49171819.378592335,48379785.09497891,48788264.36024468,-408479.2652657628,0.9462390929635917,63.99247818592718,60.20752181407282,0.9462390929635917,54656001.89247818,54655998.10752182,8.43,554.9,154.0,28.43,42.27,16900,20.5,17.47,31.68,0.15,0.69,7.77,0.08,8013.09,366.93,1178.1,11244.4,1719.17,2402.58,4685987430,2773243073,1912744357,2902281620,2933292467,-31010847,36000416850.0,20774323817.0,15226093033
