Date,High,Low,Open,Close,Volume,Adj Close,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components,FT_100components
2010/3/31,54.45000076,54.20000076,54.34999847,54.25,10898,54.25,-0.003673109,-0.003679871,54.09201916,53.85409971,53.70390824,-0.2712173,-0.225898565,0.535713741,0.54999951,0.559523628,54.90475976,52.9666686,54.88884447,52.76829817,54.87685029,52.38981667,78.26089841,84.84849886,89.13043118,8.39,540.2,144,28.43,41.96,16360,20.56,17.59,31.75,0.15,0.69,7.77,0.08,7920.06,366.57,1169.43,11089.94,1692.85,2397.96,2608430780,2728850076,-120419296,2865193149,1994566317,870626832,21988697025,19388658543,2600038482,92.97334702,88.82115675,79.04838338,58.17704883,54.84938338,58.93556921
2010/4/1,54.90000153,54.25,54.25,54.75,12506,54.75,0.00921659,0.009174376,54.25651438,53.97358735,53.79942503,-0.31064812,-0.256732846,0.549999782,0.574999673,0.561904726,55.11842219,53.1530066,55.06841798,52.75301059,54.98246694,52.48419987,100,100,100,8.43,554.9,154,28.43,42.27,16900,20.5,17.47,31.68,0.15,0.69,7.77,0.08,8013.09,366.93,1178.1,11244.4,1719.17,2402.58,4685987430,2773243073,1912744357,2902281620,2933292467,-31010847,36000416850,20774323817,15226093033,92.84825819,88.4834129,78.54111794,57.1529571,55.90592095,59.04919704
2010/4/2,54.90000153,54.65000153,54.75,54.75,5632,54.75,0,0,54.37988579,54.07713477,53.88618572,-0.342312222,-0.288336331,0.542857034,0.532142639,0.521428426,55.20818054,53.42039111,55.11014176,52.9827156,54.96602539,52.74349849,100,100,100,8.43,549.02,158.5,28.43,42.27,17140,20.5,17.47,31.68,0.15,0.69,7.77,0.08,8025.93,366.93,1178.1,11286.09,1723.49,2402.58,3403184882,2221687640,1181497242,2635320690,2658597705,-23277015,16525991663,8059111375,8466880288,92.72290585,88.1460634,78.03678473,56.16618348,56.86038883,58.94915297
2010/4/6,55.54999924,54.90000153,54.90000153,55.29999924,15824,55.29999924,0.010045648,0.009995526,54.60991416,54.2402185,54.01518024,-0.403653677,-0.329198145,0.521428244,0.553571156,0.519047328,55.40580835,53.73704879,55.31398695,53.09315623,55.16513853,52.76819473,100,100,100,8.56,558.82,159,28.43,42.43,17380,20.68,16.23,31.52,0.15,0.69,7.76,0.08,8089.65,375.52,1189.44,11282.32,1726.09,2436.81,4474946818,3437375723,1037571095,2652930710,2940011704,-287080994,30146236675,11525413580,18620823095,92.59729251,87.80913159,77.53544849,55.21735413,57.6924492,58.65636195
2010/4/7,55.5,55.29999924,55.34999847,55.40000153,6572,55.40000153,0.00180836,0.001806727,54.80743601,54.39488511,54.14148791,-0.461413642,-0.374106522,0.371428353,0.514285496,0.509523483,55.63717946,53.90567812,55.57279602,53.01291859,55.39089618,52.70910375,100,100,100,8.59,555.88,156.5,28.43,42.77,17180,20.48,16.62,31.52,0.15,0.69,7.76,0.08,8121.78,376.89,1182.45,11292.83,1726.6,2431.16,3272236762,3070478150,201758612,3107250860,4008940913,-901690053,28904229250,17512738996,11391490254,92.47142067,87.47264073,77.03717316,54.30702278,58.38607373,58.19843582
2010/4/8,55.5,54.84999847,55.40000153,55.04999924,8999,55.04999924,-0.006317731,-0.006337772,54.86807682,54.4822478,54.22432719,-0.46724149,-0.410064755,0.407143184,0.524999891,0.528571174,55.70049019,53.99951002,55.6816024,52.99696903,55.51331198,52.70573556,69.56505875,82.92674303,86.27443647,8.57,539.22,153.5,28.43,42.4,17260,20.1,16.48,31.5,0.15,0.7,7.76,0.08,8057.6,371.47,1186.44,11168.2,1733.78,2436.81,4564456890,4790831835,-226374945,3060637010,4267854197,-1207217187,25743920436,22194369903,3549550533,92.34529285,87.13661398,76.5420219,53.43566997,58.92968532,57.60810422
2010/4/9,55.20000076,54.79999924,55,55.20000076,6165,55.20000076,0.002724823,0.002721118,54.95105781,54.57796161,54.31326619,-0.458392211,-0.440432595,0.435714722,0.521428517,0.523809342,55.76011408,54.15417185,55.82399639,52.99028943,55.64949345,52.70288757,82.60865239,90.24387975,92.15684221,8.64,546.08,154.5,28.43,42.17,17120,20.01,16.14,31.5,0.15,0.7,7.76,0.08,8092.03,375.76,1194.37,11204.34,1724.47,2454.05,2529718674,2861425894,-331707220,2282456720,3950881864,-1668425144,21482660905,16945346786,4537314119,92.21891157,86.80107441,76.05005706,52.60370257,59.31619217,56.92152495
2010/4/12,55.54999924,55.20000076,55.45000076,55.45000076,8762,55.45000076,0.004528985,0.00451876,55.07579355,54.69424763,54.41686132,-0.45808326,-0.46956942,0.450000218,0.492856979,0.516666412,55.70839173,54.54875156,55.98848631,53.07579951,55.81397048,52.70983905,100,100,100,8.65,539.22,154,28.43,42.23,16600,20.02,15.58,31.5,0.15,0.69,7.76,0.08,8117.75,378.97,1196.48,11251.9,1710.3,2457.87,2910129688,2892278665,17851023,2709081300,2966351946,-257270646,20731649385,17225500006,3506149379,92.09227934,86.46604501,75.56134016,51.81145333,59.54291672,56.17654387
2010/4/13,55.20000076,54.59999847,55.20000076,54.79999924,11529,54.79999924,-0.0117223,-0.011791548,55.00684497,54.70834933,54.45177035,-0.396797503,-0.480971315,0.44285747,0.496428626,0.530952272,55.69462596,54.57680283,55.92676586,53.34466293,55.85705898,52.78103633,7.142740367,66.66660146,74.99996332,8.66,533.33,150,28.43,42.3,16560,20.15,16.2,31.37,0.15,0.7,7.76,0.08,8029.73,381.33,1197.3,11161.23,1710.59,2465.99,2752129067,4097412379,-1345283312,2591295540,3783692853,-1192397313,21062973072,19671671180,1391301892,91.96539872,86.13154864,75.07593189,51.05918074,59.61142397,55.41097439
2010/4/14,55.20000076,54.79999924,55,55.20000076,8271,55.20000076,0.007299298,0.007272787,55.05513392,54.77390884,54.51993029,-0.354291091,-0.48820295,0.464286259,0.503571647,0.509523846,55.64347264,54.7565278,55.89924476,53.61504128,55.85800475,53.0039003,61.53855183,87.1794922,89.36171249,8.77,540.2,153.5,28.43,42.6,16900,21.55,15.59,31.33,0.15,0.7,7.76,0.08,8097.13,397.73,1210.65,11204.9,1735.33,2504.86,3020823570,2651138925,369684645,2214447360,3914729913,-1700282553,21080525513,14980787898,6099737615,91.83827223,85.79760808,74.59389209,50.34706898,59.52725651,54.66096344
2010/4/15,55.79999924,55.34999847,55.34999847,55.54999924,12410,55.54999924,0.006340552,0.006320535,55.17885025,54.87739575,54.61374685,-0.348294094,-0.498457155,0.435715267,0.478571756,0.51428586,55.75119009,54.72023892,55.86230826,53.94483482,55.91709969,53.17813877,100,100,100,8.89,543.14,152,28.43,42.7,17100,21.96,15.89,31.4,0.15,0.7,7.76,0.08,8171.94,398.86,1211.67,11273.79,1743.91,2515.69,3872697580,3641099904,231597676,3434499710,3299761385,134738325,28606024514,18893166328,9712858186,91.71090242,85.46424602,74.11527973,49.67522806,59.29958545,53.95950575
2010/4/16,55.5,54.90000153,55.5,55.20000076,11158,55.20000076,-0.006300603,-0.006320535,55.18413788,54.9204127,54.66713263,-0.318533038,-0.500930403,0.492857797,0.432143075,0.50714293,55.7018776,54.71240833,55.80375009,54.17482167,55.9827102,53.21252818,53.33353678,73.07702465,84.09098397,8.84,535.29,152,28.43,42.74,16960,21.88,18.36,31.4,0.15,0.7,7.76,0.08,8111.57,393.75,1192.13,11102.18,1734.49,2481.26,3030483999,3315415998,-284931999,2733057850,3069080102,-336022252,20813245439,22527586726,-1714341287,91.58329185,85.13148503,73.64015293,49.04369417,58.94078833,53.33516006
2010/4/19,54.65000153,53.65000153,54.65000153,53.65000153,13974,53.65000153,-0.028079696,-0.02848147,54.80060379,54.75101448,54.57452428,-0.151743484,-0.46428144,0.542857579,0.475000381,0.530952454,56.29481296,53.71947362,55.98956815,53.86757525,56.00582501,53.1179848,0,0,13.63649762,8.82,520.59,144,28.43,42.75,16540,21.9,17.34,31.38,0.15,0.69,7.76,0.08,7854.22,389.66,1197.52,10908.77,1705.3,2480.11,2539487125,6279617700,-3740130575,1869172350,3412612463,-1543440113,23972931096,27489236883,-3516305787,91.45544306,84.79934757,73.16856892,48.45243017,58.46596662,52.81101164
2010/4/20,54.09999847,53.75,53.90000153,53.84999847,6745,53.84999847,0.003727809,0.003720878,54.56295246,54.63087282,54.50856643,0.009614544,-0.409625904,0.535714286,0.485714504,0.52619044,56.34803327,53.28053837,56.07115743,53.70027136,56.01434852,53.07136591,10.52616785,10.52616785,22.72726485,8.74,514.71,146.5,28.43,43.29,16560,22.37,15.73,31.32,0.15,0.7,7.76,0.08,7900.42,395.71,1207.17,10900.68,1718.03,2500.31,2457791429,5645287862,-3187496433,2018771980,4092880770,-2074108790,19619700399,24424830609,-4805130210,91.32735862,84.467856,72.70058402,47.90132623,57.89241678,52.40391395
